#Owner,Owner_num,UID,Loc_X,Loc_Y,dir,FEATURE/OBJECT(permanent),type,name,description,graphic_name,size,keepout,quantity,valid,Button,Custom-Data,Comment
P,1,6,0.00,0.00,0,OBJECT,A,Shield,"White Buckler","PNG/round-shield.png",0.50,,1,1,"Take","",""
M,3,21,1.50,1.50,1,FEATURE,N,Adventurer,"Frightened Fighter","PNG/fighter.png",0.50,0.50,1,1,"Talk to the","The pirate caves are scary.  If it wasn't for the treasure map, I'd leave.",""
M,3,23,10.50,19.50,0,FEATURE,C,Chest,"X Marks the Spot","PNG/X-Marks-Spot-White.png",0.75,,1,0,"Dig up","26",""
M,3,24,10.50,19.50,0,FEATURE,C,Chest,"Closed Pirate Chest","PNG/chest-closed.png",0.75,,1,0,"Open the","",""
M,3,25,10.50,19.50,0,FEATURE,C,Chest,"Open Pirate Chest","PNG/chest-open.png",0.75,,1,0,"Close the","",""
M,3,26,11.50,15.50,0,OBJECT,K,Shovel,"Rusty Shovel","PNG/spade.png",0.80,,1,1,"Take","",""
M,3,108,20.50,5.50,0,OBJECT,C,Map,"Pirate Treasure Map","PNG/treasure-map.png",0.70,,1,1,"Study","THREE PACES EAST OF THE CLAW.  The location of the Pirate Treasure will now be marked by an X.",""
M,4,28,0.50,0.50,0,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map1@0.5,5.5,0",""
M,4,30,13.50,6.50,0,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,13.50,6.50,3,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,13.50,7.50,3,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,13.50,8.50,3,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,13.50,9.50,3,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,13.50,10.50,3,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,13.50,11.50,3,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,13.50,12.50,3,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,13.50,12.50,2,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,14.50,6.50,0,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,14.50,12.50,2,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,15.50,6.50,0,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,15.50,12.50,2,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,16.50,6.50,0,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,16.50,9.50,1,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,16.50,12.50,2,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,20.50,6.50,0,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,20.50,6.50,1,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,20.50,7.50,1,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,20.50,8.50,1,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,20.50,10.50,1,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,20.50,11.50,1,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,20.50,12.50,1,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,4,30,20.50,12.50,2,FEATURE,X,Fence,"Wooden Fence","PNG/Fence.png",1.00,,1,1,"","",""
M,6,100,13.50,37.50,0,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@13.5,37.5,0",""
M,6,102,16.50,49.50,1,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@16.5,49.5,1",""
M,6,104,16.50,59.50,3,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@16.5,59.5,0",""
M,6,106,18.50,55.50,1,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@18.5,55.5,1",""
M,6,110,26.50,60.50,0,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@26.5,60.5,0",""
M,6,112,27.50,44.50,3,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@27.5,44.5,3",""
M,6,114,30.50,41.50,3,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@30.5,41.5,3",""
M,6,116,32.50,32.50,2,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@32.5,32.5,0",""
M,6,119,36.50,57.50,3,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map5@36.5,57.5,0",""
M,6,121,37.50,35.50,3,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map5@37.5,35.5,0",""
M,6,123,40.50,19.50,3,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map5@40.5,19.5,0",""
M,6,124,38.50,20.50,3,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@38.5,20.5,1",""
M,6,127,40.50,43.50,3,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map5@40.5,43.5,0",""
M,6,129,41.50,41.50,3,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map5@41.5,41.5,0",""
M,6,131,44.50,74.50,2,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map5@44.5,74.5,0",""
M,6,132,45.50,74.50,2,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@45.5,74.5,0",""
M,6,200,47.00,61.00,0,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map5@47,61,0",""
M,6,231,46.00,67.50,2,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map5@46,67.5,0",""
M,6,209,51.50,70.50,0,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map7@51.5,70.5,0",""
M,6,143,59.50,70.50,0,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map7@59.5,70.5,0",""
M,6,146,59.50,70.50,1,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map5@59.5,70.5,0",""
M,6,148,63.50,18.50,0,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map5@63.5,18.5,0",""
M,6,149,63.50,18.50,3,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map7@63.5,18.5,1",""
M,6,152,63.50,30.50,0,FEATURE,S,Up,"Stairs Leading Up","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map5@63.5,30.5,0",""
M,6,153,63.50,30.50,0,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map7@63.5,30.5,0",""
M,6,156,65.50,61.50,3,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map5@65.5,61.5,1",""
M,6,158,70.00,67.00,0,FEATURE,S,Up,"Stairs Leading Up","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map5@70,67,0",""
M,6,159,70.00,67.00,0,FEATURE,S,Down,"Stairs Leading Down","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map7@70,67,0",""
M,6,163,82.50,37.50,0,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@82.5,37.5,0",""
M,6,165,82.50,59.50,3,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@82.5,59.5,0",""
M,6,168,84.00,61.00,0,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map5@84,61,0",""
M,6,172,86.00,45.00,2,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map5@86,45,0",""
M,6,174,86.00,45.00,0,FEATURE,X,Spiral,"Spiral Stairs","GIMP/spiral-stairs-white.png",2.00,,1,1,"","",""
M,6,175,86.50,16.50,0,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@86.5,16.5,0",""
M,6,182,87.00,31.00,2,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map5@87,31,0",""
M,6,183,87.00,31.00,0,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map7@87.5,31.5,0",""
M,6,187,88.50,31.50,0,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@88.5,31.5,0",""
M,6,185,87.50,57.50,1,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@87.5,57.5,0",""
M,6,189,8.00,58.00,0,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map7@8,58,0",""
M,6,192,8.00,58.00,0,FEATURE,X,Spiral,"Spiral Stairs","GIMP/spiral-stairs-white.png",2.00,,1,1,"","",""
M,6,193,10.50,61.50,0,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@10.5,61.5,0",""
M,6,195,12.50,51.50,0,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@12.5,51.5,0",""
M,7,101,13.50,37.50,0,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@13.5,37.5,0",""
M,7,103,16.50,49.50,1,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@16.5,49.5,1",""
M,7,105,16.50,59.50,3,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@16.5,59.5,0",""
M,7,107,18.50,55.50,1,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@18.5,55.5,1",""
M,7,111,26.50,60.50,0,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@26.5,60.5,0",""
M,7,113,27.50,44.50,3,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@27.5,44.5,3",""
M,7,115,30.50,41.50,3,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@30.5,41.5,3",""
M,7,117,32.50,32.50,0,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@32.5,32.5,0",""
M,7,125,38.50,20.50,3,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@38.5,20.5,1",""
M,7,133,45.50,74.50,2,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@45.5,74.5,0",""
M,7,210,51.50,70.50,0,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map6@51.5,70.5,0",""
M,7,144,59.50,70.50,0,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map6@59.5,70.5,0",""
M,7,150,63.50,18.50,3,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map6@63.5,18.5,1",""
M,7,154,63.50,30.50,0,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map6@63.5,30.5,0",""
M,7,160,70.00,67.00,0,FEATURE,S,Up,"Stairs Leading Up","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map6@70,67,0",""
M,7,241,51.50,69.00,1,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map5@51.5,69,0",""
M,7,164,82.50,37.50,0,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@82.5,37.5,0",""
M,7,166,82.50,59.50,3,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@82.5,59.5,0",""
M,7,176,86.50,16.50,0,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@86.5,16.5,0",""
M,7,184,87.00,31.00,0,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map6@87.5,31.5,0",""
M,7,188,88.50,31.50,0,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@88.5,31.5,0",""
M,7,186,87.50,57.50,1,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@87.5,57.5,0",""
M,7,190,8.00,58.00,0,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map6@8,58,0",""
M,7,194,10.50,61.50,0,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@10.5,61.5,0",""
M,7,196,12.50,51.50,0,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map6@12.5,51.5,0",""
M,5,118,36.50,57.50,3,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map6@36.5,57.5,0",""
M,5,120,37.50,35.50,3,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map6@37.5,35.5,0",""
M,5,122,40.50,19.50,2,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map6@40.5,19.5,0",""
M,5,126,40.50,43.50,3,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map6@40.5,43.5,0",""
M,5,128,41.50,41.50,3,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map6@41.5,41.5,0",""
M,5,130,44.50,74.50,2,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map6@44.5,74.5,0",""
M,5,137,47.00,61.00,0,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map6@47,61,0",""
M,5,138,47.00,61.00,0,FEATURE,S,Up,"Spiral Stairs Leading Up to Crystal Water Temple","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map1@0.5,15.5,0",""
M,5,230,46.00,67.50,2,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map6@46,67.5,0",""
M,5,145,59.50,70.50,1,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map6@59.5,70.5,0",""
M,5,147,63.50,18.50,0,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map6@63.5,18.5,0",""
M,5,151,63.50,30.50,0,FEATURE,S,Down,"Stairs Leading Down","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map6@63.5,30.5,0",""
M,5,155,65.50,61.50,3,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map6@65.5,61.5,1",""
M,5,157,70.00,67.00,0,FEATURE,S,Down,"Stairs Leading Down","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map6@70,67,0",""
M,5,240,51.50,69.00,1,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@51.5,69,0",""
M,5,167,84.00,61.00,0,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map6@84,61,0",""
M,5,171,86.00,45.00,2,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map6@86,45,0",""
M,5,173,86.00,45.00,0,FEATURE,X,Spiral,"Spiral Stairs","GIMP/spiral-stairs-white.png",2.00,,1,1,"","",""
M,5,181,87.00,31.00,2,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map6@87,31,0",""
M,9,191,8.00,58.00,0,FEATURE,X,Spiral,"Spiral Stairs","GIMP/spiral-stairs-white.png",2.00,,1,1,"","",""
M,9,232,44.50,58.50,2,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map6@44.5,68.5,0",""
M,9,233,44.50,58.50,2,FEATURE,S,Up,"Stairs Leading Up","stairs_up",1.00,,1,1,"Climb","Map5@44.5,68.5,0",""
M,9,169,84.00,51.00,0,FEATURE,X,Spiral,"Spiral Stairs","GIMP/spiral-stairs-white.png",2.00,,1,1,"","",""
M,9,170,84.00,51.00,0,FEATURE,X,Spiral,"Spiral Stairs","GIMP/spiral-stairs-white.png",2.00,,1,1,"","",""
M,9,179,87.00,21.00,0,FEATURE,S,Down,"Spiral Stairs Leading Down","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map7@87,30,0",""
M,9,180,87.00,21.00,0,FEATURE,S,Up,"Spiral Stairs Leading Up","GIMP/spiral-stairs-white.png",2.00,,1,1,"Climb","Map6@87,30,0",""
M,6,301,20.00,42.00,2,FEATURE,X,Statue1,"Statue","PNG/Statue-Cleric1-small.png",1.75,,1,1,"","",""
M,6,302,24.00,42.00,2,FEATURE,X,Statue2,"Statue","PNG/Statue-Cleric2-small.png",1.75,,1,1,"","",""
M,6,303,28.00,42.00,2,FEATURE,X,Statue3,"Statue","PNG/Statue-Cleric3-small.png",1.75,,1,1,"","",""
M,7,304,20.25,42.25,2,FEATURE,X,Statue4,"Statue","PNG/Statue-Cleric6-small.png",1.50,,1,1,"","",""
M,7,305,24.00,42.25,2,FEATURE,X,Statue5,"Statue","PNG/Statue-Cleric5-small.png",1.50,,1,1,"","",""
M,7,306,28.00,42.25,2,FEATURE,X,Statue6,"Statue","PNG/Statue-Cleric4-small.png",1.25,,1,1,"","",""
M,7,307,31.00,38.00,1,FEATURE,X,Statue7,"Statue","PNG/Statue-Cleric7-small.png",1.75,,1,1,"","",""
M,6,308,49.00,41.00,0,FEATURE,X,Statue8,"Statue","PNG/Statue-Angel1-small.png",1.75,,1,1,"","",""
M,6,309,74.00,34.00,3,FEATURE,X,Statue9,"Statue","PNG/Statue-Angel2-small.png",1.75,,1,1,"","",""
M,6,310,80.50,33.00,0,FEATURE,X,Statue10,"Statue","PNG/Statue-Garden-small.png",1.25,,1,1,"","",""
M,7,311,77.00,44.00,3,FEATURE,X,Statue11,"Statue","PNG/Statue-Monk-Lizardman-small.png",1.75,,1,1,"","",""
M,5,312,52.00,26.50,0,FEATURE,X,Statue12,"Statue","PNG/Statue-Monk1-small.png",1.75,,1,1,"","",""
M,5,313,44.00,38.00,0,FEATURE,X,Statue13,"Statue","PNG/Statue-Priest-small.png",1.25,,1,1,"","",""
M,6,314,78.50,41.00,0,FEATURE,S,Down,"Fountain","PNG/Fountain1-small.png",1.75,,1,1,"Dive into the","Map7@78.5,41,0",""
M,9,99,78.50,41.00,0,FEATURE,S,Down,"Stairs Leading Down","stairs_down",1.00,,1,1,"Climb","Map7@78.5,41,0",""
M,9,98,78.50,41.00,0,FEATURE,S,Down,"Stairs Leading Down","GIMP/spiral-stairs-white.png",1.00,,1,1,"Climb","Map7@78.5,41.0,0",""
